Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Pdhb		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P26284}.
Acbd6		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9BR61}. Nucleus {ECO:0000250|UniProtKB:Q9BR61}.
Alg14		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q96F25}; Single-pass membrane protein {ECO:0000255}.
Det1		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Znf524	Zfp524	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}. Chromosome, telomere {ECO:0000250|UniProtKB:Q96C55}.
Ribc1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:37295417}.
Mrps30		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
Mrto4	Mrt4	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:P33201}. Cytoplasm {ECO:0000250|UniProtKB:P33201}. Note=Shuttles between the nucleus and the cytoplasm. {ECO:0000250|UniProtKB:P33201}.
Adck1		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q86TW2}.
Armc10		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8N2F6}; Single-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q8N2F6}; Single-pass membrane protein {ECO:0000255}.
Prpsap1		
Chaf1b		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q13112}. Cytoplasm {ECO:0000250|UniProtKB:Q13112}. Note=DNA replication foci. Cytoplasmic in M phase. {ECO:0000250|UniProtKB:Q13112}.
Tmem88		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein.
Ebpl	Ebrp Erp	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Lsm12		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q3MHD2}. Note=Colocalizes with TPCN2. {ECO:0000250|UniProtKB:Q3MHD2}.
Gkn3		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20138039}.
Dtwd2		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8NBA8}. Cytoplasm {ECO:0000250|UniProtKB:Q8NBA8}.
Cinp		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9BW66}. Note=Binds to nuclear under G1 conditions, and dissociates from chromatin with the start of DNA replication. {ECO:0000250|UniProtKB:Q9BW66}.
Mrpl52		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q86TS9}.
Shld1	RINN3	SUBCELLULAR LOCATION: Chromosome {ECO:0000250|UniProtKB:Q8IYI0}.
Dnlz	D2Bwg1335e	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
Hddc3	Mesh1	
Tmem219		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass membrane protein.
Ogfod3		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Tomm7		SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q9P0U1}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9P0U1}.
Susd3		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q96L08}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q96L08}. Note=Prominently localized to cell-cell borders. {ECO:0000250|UniProtKB:Q96L08}.
Ciao2b	Fam96b Mip18	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y3D0}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9Y3D0}.
Dcdc2c		SUBCELLULAR LOCATION: Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:A8MYV0}. Cytoplasm {ECO:0000250|UniProtKB:A8MYV0}. Note=Detected along the length of the sperm flagellum and in the cytoplasm of the germ cells. {ECO:0000250|UniProtKB:A8MYV0}.
Mrpl28		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q13084}.
Pyurf	Pigy Prey	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q96I23}.
Mrnip		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q6NTE8}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q6NTE8}. Note=Recruited to sites of DNA damage. Phosphorylation induces its nuclear localization and promotes genome stability. {ECO:0000250|UniProtKB:Q6NTE8}.
Rita1	Rita	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Shuttles rapidly between the cytoplasm and the nucleus. The function of centrosome localization is still unclear (By similarity). {ECO:0000250}.
Card19		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Mitochondrion membrane {ECO:0000250}; Single-pass membrane protein.
Mcee		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
Necap2		SUBCELLULAR LOCATION: Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000269|PubMed:14555962}. Cell membrane {ECO:0000269|PubMed:14555962}. Note=Colocalizes with AP-2 at the plasma membrane.
Atp6v1f	Atp6s14 Vatf	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:P50408}; Peripheral membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000250|UniProtKB:P50408}; Peripheral membrane protein {ECO:0000305}.
Chchd2		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y6H1}. Mitochondrion {ECO:0000250|UniProtKB:Q9Y6H1}. Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q9Y6H1}. Note=Mainly localized in the intermembrane space. {ECO:0000250|UniProtKB:Q9Y6H1}.
Fkbp11		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Mrpl21	D9Wsu149	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q7Z2W9}.
Mrpl13		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9BYD1}.
Mphosph6		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q99547}. Cytoplasm {ECO:0000250|UniProtKB:Q99547}. Note=Cytoplasmic in M phase. {ECO:0000250|UniProtKB:Q99547}.
Dpm3		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Tmem126b		SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Tmem50b		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18541381}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18541381}; Multi-pass membrane protein {ECO:0000255}.
Spink12		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Acbd7		
Trappc6b		SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}.
Saal1		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96ER3}.
Polr3h		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y535}.
Snapc3		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Tmem190		SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:21273369}; Single-pass type I membrane protein {ECO:0000269|PubMed:21273369}. Note=Localizes in the intracellular space in testicular germ cells and sperm. Detected also on the cell surface in post-meiotic round spermatids. In cauda epididymal sperm relocates during the acrosome reaction from the inner-acrosomal membrane onto the equatorial segment surface, on which sperm-oocyte fusion occurs. Colocalizes with IZUMO1 at the inner-acrosomal membrane.
Stpg1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23028632}. Nucleus {ECO:0000269|PubMed:23028632}.
Hhipl2	Hhip3 Kiaa1822l	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Iqch		
Cpxm2	Cpx2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Urm1		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9BTM9}. Nucleus {ECO:0000250|UniProtKB:Q9BTM9}.
Trmt44	Mettl19	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q02648}.
Paat		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9H8K7}. Mitochondrion {ECO:0000250|UniProtKB:Q9H8K7}.
S100a14	Gm1020 S100a15	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Aacs		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JMI1}.
Tmed11		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Coa3	Ccdc56	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.
Mrps33	Gdap3	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9Y291}.
Fxyd4		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q63113}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q63113}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q63113}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q63113}. Note=Detected in the basolateral membrane of collecting duct principal cells. {ECO:0000250|UniProtKB:Q63113}.
Mgat4c		SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Mrpl19		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P49406}.
Tmem170a	D8Bwg1414e Tmem170	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8WVE7}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000250|UniProtKB:Q8WVE7}.
Snrnp48		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Snrnp35	U1snrnpbp	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Ttpal		
Krtap7-1	Kap7.1 Krtap7.1	
Ankrd22		
Tasl		SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000250|UniProtKB:Q9HAI6}. Endosome membrane {ECO:0000250|UniProtKB:Q9HAI6}. Nucleus {ECO:0000250|UniProtKB:Q9HAI6}. Cytoplasm {ECO:0000250|UniProtKB:Q9HAI6}. Note=Recruited to endolysosome following interaction with SLC15A4. May colocalize with TLR7 in the endosomal pathway. {ECO:0000250|UniProtKB:Q9HAI6}.
Fam174a	Tmem157	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Grtp1	Tbc1d6	
Plgrkt		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19897580, ECO:0000269|PubMed:21795689}; Multi-pass membrane protein {ECO:0000269|PubMed:19897580, ECO:0000269|PubMed:21795689}. Note=Colocalizes on the cell surface with urokinase plasminogen activator surface receptor/Plaur.
Cpvl		
Drc10	Iqcd	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:A8J0N6}.
GOLGA7B		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q2TAP0}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q2TAP0}; Lipid-anchor {ECO:0000250|UniProtKB:Q2TAP0}.
Polr3c		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9BUI4}.
Cmip	Kiaa1694	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8IY22}. Cytoplasm {ECO:0000250|UniProtKB:Q8IY22}. Note=Isoform 2 is translocated to the nucleus and is specifically recruited during minimal change nephrotic syndrome (MCNS). Detected in nuclear and cytoplasmic compartments during MCNS relapse. Expressed in cytoplasm only during MCNS remission and absent in normal patients. {ECO:0000250|UniProtKB:Q8IY22}.
Lmntd1	Ifltd1 Lmna-rs1	
Eaf1		SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q96JC9}. Nucleus, Cajal body {ECO:0000250|UniProtKB:Q96JC9}.
Tktl2		
Tmem30c	Cdc50c	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Tubgcp4	D2Ertd435e Gcp4	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q9UGJ1}.
Epcip		SUBCELLULAR LOCATION: Vesicle {ECO:0000250|UniProtKB:Q9NYP8}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:Q9NYP8}. Note=Detected on migrasomes and on extracellular exosomes in blood and urine. {ECO:0000250|UniProtKB:Q9NYP8}.
Dcbld1		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Cimip2a	Fam166a	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:37295417, ECO:0000269|PubMed:37989994}.
Arl5b	Arl8	
Gstt4		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
Taf1d	Josd3	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Yju2b	Ccdc130	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9BW85}.
Wbp2nl	Pawp	
Nxnl2		
Spata17	Srg11	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15756417}.
Wdr64		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:39386799}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:39386799}. Note=Weakly expressed in the cytoplasm of spermatocytes and early round spermatids, but strongly detected in the posterior pole of late round spermatids and elongating spermatids, where it colocalizes with alpha-tubulin. Not detected in the acrosome. In round spermatids, strongly aggregates in the posterior pole and localizes in the manchette in subsequent development steps. When the manchette disappears, migrates to the spermatid flagellum. In epididymal spermatozoa, localizes to the midpiece of the flagellum. {ECO:0000269|PubMed:39386799}.
Ubxn11	D4Bwg1540e Soc Ubxd5	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Atp6v1e2	Atp6e1	
Tex50	4930469G21Rik	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
Cdyl2		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18450745}.
Tmem81		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:B8JI67}; Single-pass type I membrane protein {ECO:0000255}.
S100pbp		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96BU1}. Note=Colocalizes with S100P in the nucleus. {ECO:0000250|UniProtKB:Q96BU1}.
Wdr20	Wdr20b Wdr20rt	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8TBZ3}. Nucleus {ECO:0000250|UniProtKB:Q8TBZ3}.
Spata1		SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:31816150}.
Lpcat2b	Aytl1b	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Pudp	Hdhd1 Hdhd1a	
Spmip4	C7orf31	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q8N865}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:E1B9R1}. Note=Localizes to the A-tubules of DMTs. {ECO:0000250|UniProtKB:E1B9R1}.
Gins2	Psf2	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y248}. Chromosome {ECO:0000250|UniProtKB:Q9Y248}. Note=Associates with chromatin. {ECO:0000250|UniProtKB:Q9Y248}.
Rab11fip1	Rcp	SUBCELLULAR LOCATION: Recycling endosome {ECO:0000250|UniProtKB:Q6WKZ4}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q6WKZ4}. Note=Membrane-bound. RAB11A rather than RAB4A mediates localization in the endocytic recycling compartment (ERC). Colocalizes with RAB11A at phagosomes. Colocalizes with Rab11 and RAB14 on punctate vesicles. {ECO:0000250|UniProtKB:Q6WKZ4}.
Krtap3-2	Krtap3-3	
Krt34	Ha4 Krt1-4	
Arrdc2		
Serpinb7		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Cmtm5	Cklfsf5	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Lurap1	Lrap35a Lrp35a	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96LR2}.
Yju2	Ccdc94	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9BW85, ECO:0000255|HAMAP-Rule:MF_03226}.
Fundc2	Hcbp6	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q9BWH2}; Multi-pass membrane protein {ECO:0000255}. Nucleus {ECO:0000250|UniProtKB:Q9BWH2}.
Ppil3	Cyp10l	
Slc25a22	Gc1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:A0A0G2K5L2}; Multi-pass membrane protein {ECO:0000305}.
Calml3		
Tube1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q9UJT0}. Note=Associated with pericentriolar material. {ECO:0000250|UniProtKB:Q9UJT0}.
Borcs6		SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000250|UniProtKB:Q96GS4}.
Prss23		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Borcs8		SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000250|UniProtKB:Q96FH0}.
Rpap3	D15Ertd682e	
Ap5s1		SUBCELLULAR LOCATION: Cytoplasm, cytosol. Late endosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Lysosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.
Mrpl2		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q5T653}.
Haus5	Kiaa0841	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:O94927}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:O94927}. Note=Localizes to interphase centrosomes and to mitotic spindle microtubules. {ECO:0000250|UniProtKB:O94927}.
Srp19		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P09132}. Nucleus, nucleolus {ECO:0000250|UniProtKB:P09132}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:P09132}. Note=Although the signal recognition particle complex acts in the cytoplasm, it assembles at least in part in the nucleus and/or the nucleolus. SRP19 nuclear import may be mediated by IPO8/Imp8 and TPNO1/Trn. {ECO:0000250|UniProtKB:P09132}.
Armc1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9NVT9}. Mitochondrion {ECO:0000250|UniProtKB:Q9NVT9}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q9NVT9}. Note=Associates with the outer mitochondrion membrane, most likely through its C-terminus (By similarity). Not integrated into the mitochondrial outer membrane (By similarity). {ECO:0000250|UniProtKB:Q9NVT9}.
Gpx8		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8TED1}. Note=Also enriched in mitochondria-associated membranes (MAM). {ECO:0000250|UniProtKB:Q8TED1}.
Cldn23		SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Lypd6b		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.
Eurl	D16Ertd472e	
Wdr5b		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q86VZ2}.
Lhpp		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
Tgm5		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Associated with intermediate filaments. {ECO:0000250}.
Cox20	Fam36a	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q5RI15}; Multi-pass membrane protein {ECO:0000255}.
Dnase1l1		SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250}.
Polr2d		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O15514}.
Mrps9		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P82933}.
Mrpl30		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q8TCC3}.
Serpinb12		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Sh2d4a		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17251388}. Note=Located at podocyte foot processes.
Ggct		
Slx4ip		
Nol7		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9UMY1}.
Dnajb4		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9UDY4}. Cell membrane {ECO:0000250|UniProtKB:Q9UDY4}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:Q9UDY4}.
Eef1akmt2	Mettl10	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03188}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03188}.
Actr6		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P45890}. Nucleus {ECO:0000250|UniProtKB:Q9GZN1}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9GZN1}. Note=Colocalizes with HP1 family proteins at pericentric heterochromatin. {ECO:0000250|UniProtKB:Q9GZN1}.
Ceacam18		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Arpc5l		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Ndufa11		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q86Y39}; Multi-pass membrane protein {ECO:0000255}; Matrix side {ECO:0000250|UniProtKB:Q86Y39}.
Tspan13	Tm4sf13	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Reg4		SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
P2ry13	Gpr86	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Eef1g		
Dennd10	Fam45a	SUBCELLULAR LOCATION: Late endosome {ECO:0000250|UniProtKB:Q8TCE6}.
Lin37		
Mrpl17		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9NRX2}.
Gtf3c6		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q969F1}.
Ifrd2		
Erp27		SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000250|UniProtKB:Q96DN0}.
Mcemp1		SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q8IX19}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q8IX19}.
Ociad2		SUBCELLULAR LOCATION: Endosome {ECO:0000250|UniProtKB:Q56VL3}. Mitochondrion {ECO:0000250|UniProtKB:Q56VL3}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q56VL3}.
Ccdc124		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q96CT7}. Midbody {ECO:0000250|UniProtKB:Q96CT7}. Note=Colocalizes with gamma-tubulin at interphase, prophase, metaphase, and anaphase. Relocates from centrosome to midbody at telophase. {ECO:0000250|UniProtKB:Q96CT7}.
Tmem126a		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9H061}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9H061}.
Ascc1		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8N9N2}. Nucleus speckle {ECO:0000250|UniProtKB:Q8N9N2}. Note=Colocalizes with PRPF8 in nuclear speckles in the absence of DNA damage. {ECO:0000250|UniProtKB:Q8N9N2}.
Gtf2e2		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P29084}.
Ebna1bp2	Ebp2	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q99848}.
Isca1	Hbld2	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9BUE6}.
Tmem160		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9NX00}; Multi-pass membrane protein {ECO:0000255}.
Spcs1	Spc12	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P83362}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P83362}.
Chct1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:33566224}. Nucleus {ECO:0000250|UniProtKB:Q86WR6}. Note=Located in the cytoplasm of spermatogonia and spermatocytes. {ECO:0000269|PubMed:33566224}.
Tmco5a	Tmco5	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:D3ZNV2}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:D3ZNV2}; Single-pass membrane protein {ECO:0000255}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:31393949}. Note=Localizes to the manchette in elongating spermatids. {ECO:0000269|PubMed:31393949}.
Cfap141		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:Q32L75}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:37295417, ECO:0000269|PubMed:37865089, ECO:0000269|PubMed:37989994}.
Chic2		SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Golgi apparatus {ECO:0000250}. Note=Associated and found in vesicular structures of Golgi complex. {ECO:0000250}.
Cimip4	Ean57 Tex33	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:33760102}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:33760102}.
Actrt1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8TDG2}. Cytoplasm {ECO:0000250|UniProtKB:Q8TDG2}. Nucleus {ECO:0000250|UniProtKB:Q8TDG2}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q8TDG2}. Note=Both detected in the nucleus and cytoplasm, localizes to the nucleus where it binds chromatin upon stimulation of the Hedgehog pathway. {ECO:0000250|UniProtKB:Q8TDG2}.
