Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Tmem201	D4Ertd429e Net5 Samp1	SUBCELLULAR LOCATION: [Isoform 2]: Nucleus inner membrane {ECO:0000250|UniProtKB:Q5SNT2}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q5SNT2}. Note=The C-terminal of isoform 2 is located on the nucleoplasmic side. During interphase, isoform 2 is distributed in the inner nuclear membrane and during mitosis, it is found in the ER but it also localizes to the polar regions of the mitotic spindle (By similarity). {ECO:0000250|UniProtKB:Q5SNT2}.
Osbpl9	Orp9	SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:Q96SU4}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q96SU4}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250|UniProtKB:Q96SU4}. Note=Localizes at the Golgi-late endosome interface. {ECO:0000250|UniProtKB:Q96SU4}.
Prdm16	Kiaa1675 Mel1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18483224, ECO:0000269|PubMed:24196706}. Chromosome {ECO:0000269|PubMed:24196706, ECO:0000269|PubMed:25644604}. Cytoplasm {ECO:0000250|UniProtKB:Q9HAZ2}.
Cyp4a12b		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17112342}; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:17112342}; Peripheral membrane protein.
Dmrta2	Dmrt5	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00070}.
Szt2		SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000250|UniProtKB:Q5T011}. Peroxisome {ECO:0000269|PubMed:20045724}. Note=Localization to lysosomes is amino acid-independent. {ECO:0000250|UniProtKB:Q5T011}.
Kdf1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24075906}. Cell junction {ECO:0000269|PubMed:24075906}. Note=Localized at cell borders in single layered keratinocytes. Localized at cell borders in the basal and spinous layers but is more diffusely localized in the granular layer. Colocalized with actin near the cell membrane, especially in cellular protrusions.
Mettl23		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28930672}. Cytoplasm {ECO:0000269|PubMed:28930672}. Note=Localizes in male and female zygote pronucleus and cytoplasm. {ECO:0000269|PubMed:28930672}.
Bltp1	Fsa Kiaa1109 Kiaa1371	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:A0A0K3AWP8}; Single-pass membrane protein {ECO:0000250|UniProtKB:A0A0K3AWP8}. Apical cell membrane {ECO:0000250|UniProtKB:A0A0K3AWP8}. Cell membrane {ECO:0000250|UniProtKB:Q12150}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q12150}. Note=Anchors to the endoplasmic reticulum membrane via a single transmembrane helix and bridges the gap to the apical cell membrane. It is unclear if there is a transmembrane region for the cell membrane. {ECO:0000250|UniProtKB:A0A0K3AWP8}.
Obscn	Gm878	SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, M line {ECO:0000269|PubMed:23392350}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:23392350}. Cell membrane, sarcolemma {ECO:0000269|PubMed:23392350}. Nucleus {ECO:0000269|PubMed:23392350}. Secreted {ECO:0000269|PubMed:23392350}. Note=Colocalizes with CDH2 and ATP1B1 to the sarcolemma and to intercalating disks in cardiac muscles. Colocalizes with ATP1B1 to M line and Z line in cardiac muscles. One or both small isoforms, one probably containing protein kinase domain 2 and partial protein kinase domain 1 and one containing only protein kinase domain 2, localize to the extracellular side of the sarcolemma. {ECO:0000269|PubMed:23392350}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:28826662}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:28826662}.
Sh3pxd2b	Fad49 Tks4	SUBCELLULAR LOCATION: Cytoplasm. Cell projection, podosome. Note=Cytoplasmic in normal cells and localizes to podosomes in SRC-transformed cells.
Med14	Crsp2 Gm641 Trap170	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Dnai2	Dnaic2	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:Q9GZS0}. Dynein axonemal particle {ECO:0000250|UniProtKB:Q4QR00}. Note=Located in the proximal region of respiratory cilia. {ECO:0000250|UniProtKB:Q9GZS0}.
Frmd7		SUBCELLULAR LOCATION: Cell projection, neuron projection {ECO:0000269|PubMed:19892780}. Cell projection, growth cone {ECO:0000269|PubMed:19892780}. Note=In undifferentiated neurons, located in the actin-rich regions of the cell body. In differentiated neurons, located in the actin-rich regions of the cell body and primary neurite processes but is almost absent from secondary extensions arising from the primary neurite. Also found at the actin-rich distal end of growth cones. {ECO:0000269|PubMed:19892780}.
Dock11	Ziz2	
Elapor1	Kiaa1324	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Late endosome membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Lysosome membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}.
Meioc	Gm1564	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26742488, ECO:0000269|PubMed:28380054}. Nucleus {ECO:0000269|PubMed:28380054}. Note=at late pachytene a fraction is nuclear. {ECO:0000269|PubMed:28380054}.
Map7d2	Mtap7d2	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:35470240}. Midbody {ECO:0000269|PubMed:35470240}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:35470240}. Cell projection, neuron projection {ECO:0000269|PubMed:35470240}. Cell projection, axon {ECO:0000250|UniProtKB:Q96T17}. Note=Strongly localizes to the centrosome and partially on microtubule (PubMed:35470240). During cytokinesis, accumulates at the midbody (PubMed:35470240). Accumulates to the proximal part of the axon (By similarity). {ECO:0000250|UniProtKB:Q96T17, ECO:0000269|PubMed:35470240}.
Bclaf3		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29241531, ECO:0000269|PubMed:37751355}. Nucleus speckle {ECO:0000269|PubMed:37751355}. Note=Colocalizes with Panct1 RNA to nuclear foci in the early G1 phase in ESCs. {ECO:0000269|PubMed:29241531}.
Med12	Kiaa0192 Mopa Tnrc11 Trap230	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Ryr3		SUBCELLULAR LOCATION: Sarcoplasmic reticulum membrane {ECO:0000269|PubMed:9582272}; Multi-pass membrane protein {ECO:0000255}.
Ckap5		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q14008}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q14008}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q14008}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q14008}. Note=Detected on centrosomes and kinetochores during interphase and mitosis independently from TACC3 and clathrin. Located to spindle poles and microtubules during mitosis. In complex with TACC3 localized to microtubule plus-ends in mitosis and interphase. In complex with TACC3 and clathrin localized to inter-microtubule bridges in mitotic spindles. Accumulation sites at microtubule plus ends protruded approximately 100 nm from MAPRE1/EB1 sites in interphase cells. {ECO:0000250|UniProtKB:Q14008}.
Ambra1	Kiaa1736	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasmic vesicle, autophagosome {ECO:0000305|PubMed:17589504, ECO:0000305|PubMed:24089209, ECO:0000305|PubMed:28362576, ECO:0000305|PubMed:32616651}. Mitochondrion {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasm, cytosol {ECO:0000269|PubMed:21753002, ECO:0000269|PubMed:24980959}. Nucleus {ECO:0000269|PubMed:24980959, ECO:0000269|PubMed:28362576, ECO:0000269|PubMed:32616651}. Cell junction, focal adhesion {ECO:0000269|PubMed:28362576}. Note=Localizes to the cytoskeleton in absence of autophagy induction. Upon autophagy induction, AMBRA1 relocalizes to the endoplasmic reticulum to enable autophagosome nucleation (By similarity). Partially localizes at mitochondria in normal conditions (By similarity). Also localizes to discrete punctae along the ciliary axoneme (PubMed:24089209). {ECO:0000250|UniProtKB:Q9C0C7, ECO:0000269|PubMed:24089209}.
Camsap1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q5T5Y3}. Note=Associates with the minus-end of microtubules. In contrast to CAMSAP2 and CAMSAP3, does not form stretches of decorated microtubule minus-ends. {ECO:0000250|UniProtKB:Q5T5Y3}.
Ano3	Tmem16c	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Note=Shows an intracellular localization. {ECO:0000250}.
Ndor1		SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000255|HAMAP-Rule:MF_03178}. Note=Concentrated in perinuclear structure. {ECO:0000255|HAMAP-Rule:MF_03178}.
Tprn		SUBCELLULAR LOCATION: Cell projection, stereocilium {ECO:0000269|PubMed:20170899, ECO:0000269|PubMed:24285636, ECO:0000269|PubMed:30159668, ECO:0000269|PubMed:30380417, ECO:0000269|PubMed:35752427, ECO:0000269|PubMed:37952086}. Cell projection, microvillus {ECO:0000269|PubMed:24285636}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q4KMQ1}. Cytoplasm {ECO:0000250|UniProtKB:Q4KMQ1}. Note=Localized prominently at the basal taper region of hair cell stereocilia (PubMed:20170899, PubMed:30159668, PubMed:30380417, PubMed:37952086). Forms organized ring-like structures with diameters ranging from 150 to 200 nm in the stereocilium taper region (PubMed:37952086). Detected in microvilli of inner hair cell supporting cells (PubMed:24285636). Predominantly nuclear in non-stereocilium cells but can shuttle between the nucleus and the cytoplasm (By similarity). {ECO:0000250|UniProtKB:Q4KMQ1, ECO:0000269|PubMed:20170899, ECO:0000269|PubMed:24285636, ECO:0000269|PubMed:30159668, ECO:0000269|PubMed:30380417, ECO:0000269|PubMed:37952086}.
Cimip2b	Fam166b	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:A8MTA8}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:37865089}.
