gen,f_pos,f_neg,d,m_pos,m_neg,jadrowy
Stau1,0.4935264217895847,0.44111487030771707,0.05241155148186766,0.0,0.0,False
Ddx27,0.3292413925386017,0.33897212824230705,-0.009730735703705362,0.0,0.0,False
Znfx1,0.24081710942744797,0.21846302561623973,0.022354083811208236,0.0,0.0,False
Zfos1,0.31399251942073464,0.29982278073143226,0.01416973868930238,0.0,0.0,False
Kcnb1,0.17771170998369618,0.14499758337361043,0.03271412661008574,0.0,0.0,False
Ptgis,0.01994821137431668,0.016594167874979863,0.003354043499336816,0.0,0.0,False
B4galt5,0.7578402224992807,0.7269212179797003,0.030919004519580406,0.5681818181818182,0.5403798870606036,False
Slc9a8,0.5579744893066079,0.5493797325600129,0.008594756746594934,0.2796498783523029,0.2752546105147261,False
Spata2,0.20207154502733288,0.19896890607378767,0.003102638953545206,0.0,0.0,False
Rnf114,0.4504651385825261,0.4088931851135814,0.04157195346894471,0.0,0.0,False
Gm20431,0.028579648988203702,0.026743998711132592,0.0018356502770711103,0.0,0.0,False
Tmem189,0.32387072024551644,0.2571290478492025,0.06674167239631396,0.0,0.0,False
Gm14320,0.1190179342092644,0.09827613984211374,0.020741794367150665,0.0,0.0,False
Cebpb,0.08132732329529108,0.05719349121959078,0.024133832075700294,0.0,0.0,False
A530013C23Rik,0.017934209264409706,0.015144192041243757,0.002790017223165948,0.0,0.0,False
Ptpn1,0.961829864774144,0.97148380860319,-0.009653943829045941,1.753239508455396,1.9022256039566294,False
Fam65c,0.01687925577826796,0.021910745932012244,-0.005031490153744284,0.0,0.0,False
Pard6b,0.051117291646686484,0.03367166102787176,0.017445630618814725,0.0,0.0,False
Gm20716,0.06348901889325789,0.06057676816497503,0.0029122507282828627,0.0,0.0,False
Mocs3,0.05082957705955692,0.04285484130820042,0.007974735751356501,0.0,0.0,False
Nfatc2,0.5570154406828426,0.5580795875624295,-0.0010641468795868914,0.2807963384157471,0.2823024588544166,False
Atp9a,0.6713340366356574,0.6220396326727888,0.04929440396286855,0.3929118698675887,0.3622663382118534,False
Zfp64,0.4267766375755251,0.39713227001772194,0.029644367557803142,0.0,0.0,False
Tshz2,0.2717943799750647,0.14580312550346383,0.1259912544716009,0.0,0.0,True
Gm26883,0.21549822576004604,0.0977928145642017,0.11770541119584434,0.0,0.0,False
Zfp217,0.026853361465426297,0.03286611889801837,-0.00601275743259207,0.0,0.0,False
Bcas1,0.017550589814903615,0.018205252134686645,-0.0006546623197830302,0.0,0.0,False
Pfdn4,0.20792174163230076,0.19816336394393427,0.009758377688366487,0.0,0.0,False
Dok5,0.3251174834564112,0.25922345738682134,0.06589402606958988,0.0,0.0,False
Fam210b,0.15469454301333077,0.15466408893185113,3.045408147964168e-05,0.0,0.0,False
Aurka,0.017454684952527093,0.01965522796842275,-0.0022005430158956556,0.0,0.0,False
Cstf1,0.08967104632204853,0.08345416465281134,0.006216881669237187,0.0,0.0,False
Cass4,0.7757744317636904,0.7609150958595134,0.014859335904176985,0.6192717364379489,0.610444708970485,False
Rtfdc1,0.19641315814711807,0.19059126792331238,0.005821890223805692,0.0,0.0,False
Gcnt7,0.3179246187781721,0.33478330916706944,-0.016858690388897368,0.0,0.0,False
Rae1,0.3735494389565551,0.36233285000805543,0.011216588948499695,0.0,0.0,False
Rbm38,0.017358780090150572,0.015949734171097147,0.0014090459190534248,0.0,0.0,False
Pmepa1,0.1356094754004028,0.01772192685677461,0.11788754854362819,0.0,0.0,False
Rab22a,0.4089383331734919,0.4035766070565491,0.0053617261169428,0.0,0.0,False
Vapb,0.5940347175601803,0.5835347188657967,0.010499998694383672,0.31502016129032256,0.3136959658698789,False
Stx16,0.7517982161695598,0.7404543257612373,0.01134389040832251,0.5397819281010472,0.5486065393899495,False
Npepl1,0.024455739906013234,0.026743998711132592,-0.002288258805119358,0.0,0.0,False
Gm10714,0.012755346696077492,0.013855324633478331,-0.0010999779374008395,0.0,0.0,False
Gnas,0.9458137527572648,0.944417593040116,0.0013961597171487927,1.6382028914281035,1.6166841807452914,False
Gm20721,0.29404430804641796,0.2677622039632673,0.02628210408315068,0.0,0.0,False
Nelfcd,0.07758703366260669,0.0940873207668761,-0.016500287104269415,0.0,0.0,False
Ctsz,0.028291934401074133,0.03254390204607701,-0.004251967645002876,0.0,0.0,False
Atp5e,0.36510981106742113,0.3602384404704366,0.004871370596984503,0.0,0.0,False
Slmo2,0.14673443943607942,0.12566457225712904,0.021069867178950374,0.0,0.0,False
Gm14444,0.05322719861896998,0.04752698566135009,0.005700212957619896,0.0,0.0,False
Gm14393,0.05006233816054474,0.04285484130820042,0.007207496852344321,0.0,0.0,False
Gm14399,0.4750167833509159,0.4285484130820042,0.04646837026891171,0.0,0.0,False
Gm14443,0.16869665292030306,0.13984211374254873,0.028854539177754324,0.0,0.0,False
Gm14391,0.11537354943895656,0.09682616400837764,0.01854738543057892,0.0,0.0,False
Gm11008,0.03270355807039417,0.026582890285161913,0.0061206677852322575,0.0,0.0,False
Gm14308,0.10866020907259998,0.09730948928628967,0.011350719786310304,0.0,0.0,False
Gm14306,0.5169272082094563,0.4921862413404221,0.024740966869034153,0.2326068246842362,0.0,False
Gm14305,0.09571305265176945,0.07797647816980828,0.01773657448196117,0.0,0.0,False
Gm14295,0.10444039512803299,0.08828741743193169,0.0161529776961013,0.0,0.0,False
Gm14408,0.022921262107988876,0.02319961333977767,-0.0002783512317887926,0.0,0.0,False
Gm14296,0.5154886352738084,0.4913806992105687,0.024107936063239688,0.23191632459008787,0.0,False
Gm14419,0.02042773568619929,0.019816336394393428,0.0006113992918058628,0.0,0.0,False
Gm14401,0.13254051980435408,0.11180924762365071,0.020731272180703364,0.0,0.0,False
Gm14410,0.6118730219622135,0.5642017077493153,0.047671314212898164,0.33211557622052473,0.29009892373299295,False
Gm14412,0.03692337201496116,0.026582890285161913,0.010340481729799247,0.0,0.0,False
Gm14418,0.06627025990217704,0.059932334461092314,0.0063379254410847255,0.0,0.0,False
Gm14420,0.17032703558070394,0.16030288384082486,0.010024151739879084,0.0,0.0,False
Gm14403,0.05255586458233433,0.058804575479297565,-0.006248710896963237,0.0,0.0,False
Gm14322,0.13896614558358109,0.12260351216368616,0.016362633419894926,0.0,0.0,False
Gm14325,0.3193631917138199,0.291928467858869,0.027434723854950882,0.0,0.0,False
Gm14327,0.06838016687446054,0.06492669566618334,0.0034534712082772007,0.0,0.0,False
C330013J21Rik,0.3637671429941498,0.3507330433381666,0.013034099655983233,0.0,0.0,False
Gm14326,0.5462740960966721,0.49975833736104397,0.04651575873562813,0.2724350242467172,0.0,False
Etohi1,0.326364246667306,0.29627839536007733,0.030085851307228684,0.0,0.0,False
Gm26869,0.15459863815095426,0.1408087642983728,0.013789873852581458,0.0,0.0,False
Zfp931,0.283590678047377,0.2630900596101176,0.020500618437259366,0.0,0.0,False
Phactr3,0.9140692433106359,0.8852908007088771,0.02877844260175877,1.2416576129132393,1.0440048024220911,False
Sycp2,0.7501678335091589,0.7137103270501047,0.03645750645905421,0.5798614131222638,0.5370569280343717,False
