subclass,n,Ebf1_mean,Ebf1_pct,Ebf2_mean,Ebf2_pct,Ebf3_mean,Ebf3_pct,Calb1_mean,Calb1_pct,Calb2_mean,Calb2_pct,Ppp1r17_mean,Ppp1r17_pct,Sorcs3_mean,Sorcs3_pct,Nxph1_mean,Nxph1_pct,Aqp4_mean,Aqp4_pct,Grm1_mean,Grm1_pct,Eomes_mean,Eomes_pct
229 PB-NTS Phox2b Ebf3 Lmx1b Glut,1,0.0,0.0,0.0,0.0,2.801434,100.0,1.5803595,100.0,5.665651,100.0,0.0,0.0,2.801434,100.0,0.0,0.0,0.0,0.0,3.1637843,100.0,0.0,0.0
134 PH-ant-LHA Otp Bsx Glut,1,0.8644681,100.0,0.8644681,100.0,0.0,0.0,2.351442,100.0,4.5836825,100.0,0.8644681,100.0,4.1221232,100.0,0.8644681,100.0,3.5445704,100.0,2.566574,100.0,0.0,0.0
106 PVpo-VMPO-MPN Hmx2 Gaba,1,0.0,0.0,0.0,0.0,0.0,0.0,1.994249,100.0,4.1220493,100.0,1.317329,100.0,2.9475155,100.0,1.6951319,100.0,1.317329,100.0,0.0,0.0,0.0,0.0
114 COAa-PAA-MEA Barhl2 Glut,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557339,100.0,0.8594674,100.0,3.058198,100.0,0.0,0.0,1.7837102,100.0,2.7442856,100.0,0.0,0.0
090 BST-MPN Six3 Nrgn Gaba,1,0.0,0.0,0.0,0.0,0.76355886,100.0,5.0785522,100.0,4.5863576,100.0,0.0,0.0,4.1492724,100.0,1.6290162,100.0,1.9224617,100.0,4.408204,100.0,0.0,0.0
206 SCm-PAG Cdh23 Gaba,1,0.0,0.0,1.0980145,100.0,0.0,0.0,2.1446326,100.0,1.7142224,100.0,1.0980145,100.0,2.1446326,100.0,0.0,0.0,0.0,0.0,1.0980145,100.0,0.0,0.0
138 PH Pitx2 Glut,1,0.0,0.0,0.0,0.0,0.0,0.0,4.1495094,100.0,3.499003,100.0,1.1942362,100.0,4.3450804,100.0,2.6212773,100.0,2.2823536,100.0,4.5172772,100.0,0.0,0.0
139 PH-LHA Foxb1 Glut,1,0.0,0.0,0.0,0.0,1.8912972,100.0,2.8723564,100.0,3.770322,100.0,0.92844903,100.0,2.2056787,100.0,2.6824324,100.0,0.92844903,100.0,0.92844903,100.0,0.0,0.0
115 MS-SF Bsx Glut,1,0.0,0.0,0.87529546,100.0,0.87529546,100.0,3.0890665,100.0,4.0017037,100.0,0.0,0.0,3.3474135,100.0,3.0890665,100.0,3.3474135,100.0,2.9401798,100.0,0.0,0.0
272 LDT-PCG-CS Gata3 Lhx1 Gaba,1,0.0,0.0,0.0,0.0,3.914716,100.0,0.0,0.0,3.1178386,100.0,1.189125,100.0,1.189125,100.0,0.7137591,100.0,0.0,0.0,2.2751358,100.0,0.0,0.0
277 DTN-LDT-IPN Otp Pax3 Gaba,1,2.753145,100.0,3.641974,100.0,2.5659838,100.0,0.0,0.0,4.187891,100.0,0.0,0.0,1.7911029,100.0,0.0,0.0,3.2020485,100.0,2.91879,100.0,0.0,0.0
279 PSV Pax2 Gly-Gaba,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9695127,100.0,2.5578947,100.0,0.0,0.0
