names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,subcluster
Hspa14,10.809557,1.9367917,3.1016496977507182e-27,2.473011767938742e-24,0.9333333333333333,0.7117383945841392,Purkinje_Aldoc_2
Cdh8,10.773084,2.627597,4.612888494713331e-27,3.551128815326728e-24,0.8933333333333333,0.3040377176015474,Purkinje_Aldoc_2
RP23-231J2.1,10.625115,2.5958104,2.2773047340788685e-26,1.5406311572215376e-23,0.9333333333333333,0.45291344294003866,Purkinje_Aldoc_2
Gpc6,10.360237,0.94526947,3.760288748727147e-25,2.2688769274414474e-22,0.9866666666666667,0.9965546421663443,Purkinje_Aldoc_2
Zak,10.234124,3.9437096,1.3945133088202732e-24,7.783127404853149e-22,0.7466666666666667,0.08401837524177949,Purkinje_Aldoc_2
Alpk2,9.908505,1.7746367,3.823236786024967e-23,1.8555165488697262e-20,0.9466666666666667,0.5322775628626693,Purkinje_Aldoc_2
Pcdh15,9.83504,1.8335937,7.95362356009452e-23,3.777971191044897e-20,0.92,0.5258704061895552,Purkinje_Aldoc_2
Me3,9.709566,1.1998341,2.7450352779172626e-22,1.27672734540631e-19,0.9733333333333334,0.870527079303675,Purkinje_Aldoc_2
Slc25a13,9.485491,2.9661586,2.4124446408688322e-21,1.0161854076867298e-18,0.7466666666666667,0.12753868471953578,Purkinje_Aldoc_2
Col4a2,9.403089,2.1314719,5.298461104617898e-21,2.1905211881591587e-18,0.8666666666666667,0.2584622823984526,Purkinje_Aldoc_2
Pde1c,9.300869,1.3397485,1.393028131258516e-20,5.6544278236993405e-18,0.9866666666666667,0.8791706963249516,Purkinje_Aldoc_2
Spock1,9.168037,1.5524015,4.817080867652621e-20,1.8227344130566906e-17,0.9333333333333333,0.7658365570599613,Purkinje_Aldoc_2
Malat1,9.020408,0.28179094,1.873913894566711e-19,6.858217655115052e-17,1.0,1.0,Purkinje_Aldoc_2
Dpp6,9.011856,1.0741669,2.0259866226808825e-19,7.295185701830758e-17,0.9866666666666667,0.9089095744680851,Purkinje_Aldoc_2
Fam117a,8.935423,1.3251929,4.056223203476235e-19,1.3931566618093378e-16,0.9866666666666667,0.9080029013539652,Purkinje_Aldoc_2
Ccdc172,8.772825,3.5632496,1.742389216521841e-18,5.805796904305986e-16,0.6533333333333333,0.07072050290135397,Purkinje_Aldoc_2
Drd3,8.371497,5.676284,5.689078419174055e-17,1.6934490094408105e-14,0.5733333333333334,0.016259671179883944,Purkinje_Aldoc_2
Cntn3,8.315545,0.789388,9.133181884350982e-17,2.6140805842068677e-14,1.0,0.9942577369439072,Purkinje_Aldoc_2
Col4a1,8.310768,2.1366181,9.508432902124065e-17,2.6870349941761993e-14,0.76,0.20345744680851063,Purkinje_Aldoc_2
Pcsk1,8.26057,1.6837919,1.4497935402223487e-16,4.0458300981829916e-14,0.84,0.47014023210831724,Purkinje_Aldoc_2
Gprin3,8.157276,2.762651,3.426639831053436e-16,9.329235881496092e-14,0.6533333333333333,0.12397243713733075,Purkinje_Aldoc_2
Sparcl1,8.108718,1.5573667,5.115684128500176e-16,1.3596148591519814e-13,0.8533333333333334,0.5120889748549323,Purkinje_Aldoc_2
Sema3a,7.9042783,1.2224116,2.6949016064923925e-15,6.836781632379849e-13,0.9733333333333334,0.8665377176015474,Purkinje_Aldoc_2
Slc7a6,7.866599,1.4868263,3.6441273209433814e-15,9.039460271117888e-13,0.88,0.3933147969052224,Purkinje_Aldoc_2
Syt4,7.848869,1.5210629,4.1980664486611104e-15,1.0299102578720801e-12,0.9066666666666666,0.5125725338491296,Purkinje_Aldoc_2
Htra1,7.7623773,1.0747453,8.335209405737985e-15,1.9587742103484266e-12,0.96,0.7837886847195358,Purkinje_Aldoc_2
Plcxd3,7.697982,1.7570109,1.3823199020481421e-14,3.1490093686964057e-12,0.8,0.37010396518375244,Purkinje_Aldoc_2
Kif26b,7.6492662,1.6477082,2.0212933094549118e-14,4.558118498341506e-12,0.8,0.34507978723404253,Purkinje_Aldoc_2
Ift57,7.6211877,0.99374944,2.513524372056422e-14,5.6114431606159624e-12,0.9733333333333334,0.8517287234042553,Purkinje_Aldoc_2
Nav3,7.596751,1.2381129,3.036572113493213e-14,6.581696352789901e-12,0.9866666666666667,0.8269463249516441,Purkinje_Aldoc_2
Tnfrsf11b,7.5586376,2.4688208,4.0731289950040765e-14,8.660248077472953e-12,0.6533333333333333,0.1816972920696325,Purkinje_Aldoc_2
Frmd4b,7.5468416,2.6690304,4.459401604964303e-14,9.304312227180191e-12,0.6266666666666667,0.1410178916827853,Purkinje_Aldoc_2
Adam12,7.4950504,1.230432,6.627287391719187e-14,1.3573778992672556e-11,0.9333333333333333,0.6934840425531915,Purkinje_Aldoc_2
Cachd1,7.4108744,2.5109255,1.2546917923953616e-13,2.4788490500200398e-11,0.6266666666666667,0.13104448742746616,Purkinje_Aldoc_2
Adcy8,7.384448,1.3019485,1.5308683757559872e-13,2.9979505691888084e-11,0.88,0.5375362669245648,Purkinje_Aldoc_2
Plcb1,7.224419,1.3035158,5.032490007141492e-13,9.441204992389396e-11,0.96,0.8542069632495164,Purkinje_Aldoc_2
Kitl,7.106544,0.62521374,1.189849026070192e-12,2.1422080247594387e-10,0.9866666666666667,0.9913563829787234,Purkinje_Aldoc_2
Lpcat3,7.0860033,2.0372767,1.3804041136628915e-12,2.4265765226396893e-10,0.64,0.16132736943907156,Purkinje_Aldoc_2
Camk2d,7.07949,1.07198,1.4468562026483413e-12,2.5235206815722045e-10,0.9733333333333334,0.7291465183752418,Purkinje_Aldoc_2
Pigk,6.9187975,0.8815609,4.554931901890297e-12,7.560773208947475e-10,0.96,0.8491295938104448,Purkinje_Aldoc_2
Xylt1,6.8839164,1.151865,5.822910467949283e-12,9.488793882990345e-10,0.9066666666666666,0.6558268858800773,Purkinje_Aldoc_2
Kcnc1,6.8164454,1.2629752,9.332070309397544e-12,1.4775777989879444e-09,0.84,0.4723766924564797,Purkinje_Aldoc_2
Aldoc,6.751688,1.4489852,1.461346509908254e-11,2.2814378205385853e-09,0.9733333333333334,0.7603965183752418,Purkinje_Aldoc_2
Caln1,6.747949,0.50005215,1.499494136377022e-11,2.324736569070626e-09,1.0,0.9927466150870407,Purkinje_Aldoc_2
Fgf10,6.6931424,1.4247841,2.1842801986755938e-11,3.2727553983511833e-09,0.76,0.2741779497098646,Purkinje_Aldoc_2
Rgs7,6.5909715,0.7364658,4.36958201825028e-11,6.334475231002436e-09,0.9866666666666667,0.9697775628626693,Purkinje_Aldoc_2
Tenm3,6.52455,1.4632014,6.820610543903558e-11,9.698734419913817e-09,0.8666666666666667,0.7874758220502901,Purkinje_Aldoc_2
Gm21798,6.498027,1.3969492,8.138022720237373e-11,1.1214898594401196e-08,0.76,0.3338974854932302,Purkinje_Aldoc_2
Dlgap1,6.357151,0.33242932,2.0553002340197538e-10,2.683308638859123e-08,1.0,0.9978239845261122,Purkinje_Aldoc_2
